CustomerID,Gender,Location,Transaction_ID,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,Date,Temperature (F),Weather Conditions
14309.0,F,New Jersey,39433.0,Google 22 oz Water Bottle,Drinkware,1.0,2.39,6.0,Used,2019-09-30,64.58,clear sky
14309.0,F,New Jersey,47074.0,Google Tee Green,Apparel,1.0,17.93,6.5,Clicked,2019-12-15,49.41,overcast clouds
15058.0,M,New Jersey,45415.0,Google Women's Short Sleeve Badge Tee Grey,Apparel,1.0,3.47,6.5,Not Used,2019-12-02,46.13,moderate rain
14233.0,F,New Jersey,46453.0,Nest Thermostat E - USA,Nest,1.0,100.91,6.5,Clicked,2019-12-11,53.42,light rain
16714.0,M,New Jersey,42296.0,Android Men's Vintage Tank,Apparel,2.0,4.2,6.0,Not Used,2019-11-01,70.86,overcast clouds
15235.0,F,New Jersey,17985.0,Google Infuser-Top Water Bottle,Drinkware,26.0,9.91,6.5,Not Used,2019-01-16,29.28,clear sky
15046.0,F,New Jersey,33583.0,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,Not Used,2019-07-24,69.48,light rain
15752.0,F,New York,18082.0,Leatherette Journal,Office,26.0,10.9,6.5,Not Used,2019-01-17,38.52,overcast clouds
17463.0,F,New York,44677.0,Google Crew Sweater Navy,Apparel,1.0,41.59,6.5,Used,2019-11-26,49.59,clear sky
14040.0,F,New York,42869.0,Nest Thermostat E - USA,Nest,1.0,99.0,6.0,Used,2019-11-08,51.04,light rain
16717.0,F,New York,25202.0,Ballpoint Stick Pen 4 Pack,Office,8.0,3.99,6.5,Used,2019-04-10,46.02,mist
17284.0,F,New York,34778.0,Google Men's Long & Lean Tee Charcoal,Apparel,1.0,4.8,6.0,Used,2019-08-05,79.79,overcast clouds
18109.0,F,New York,27082.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,Clicked,2019-05-02,50.38,mist
17341.0,F,New York,24706.0,Google Men's Performance Hero Tee Gunmetal,Apparel,1.0,12.31,6.5,Clicked,2019-04-03,44.62,light rain
12921.0,M,New York,17740.0,Google Twill Cap,Apparel,10.0,11.34,6.5,Clicked,2019-01-12,26.78,clear sky
14688.0,F,New York,44928.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,119.0,6.5,Clicked,2019-11-27,54.79,clear sky
13842.0,F,New York,34423.0,Google Women's Short Sleeve Hero Tee Black,Apparel,1.0,13.59,6.0,Not Used,2019-08-02,81.36,broken clouds
17888.0,M,New York,42213.0,Google Sunglasses,Lifestyle,1.0,2.8,6.0,Used,2019-10-31,61.9,mist
13069.0,F,New York,27975.0,Google Men's  Zip Hoodie,Apparel,1.0,44.79,6.0,Used,2019-05-13,46,light rain
13102.0,F,New York,29241.0,Gift Card - $25.00,Gift Cards,1.0,25.0,0.0,Used,2019-05-31,62.49,moderate rain
12738.0,M,New York,19261.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,2019-01-30,41.25,moderate rain
18075.0,F,New York,30872.0,Google Toddler Short Sleeve T-shirt Grey,Apparel,1.0,9.51,6.0,Clicked,2019-06-20,67.44,mist
17611.0,M,New York,40154.0,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1.0,149.0,6.0,Used,2019-10-09,61.95,clear sky
14669.0,F,New York,36061.0,Red Shine 15 oz Mug,Drinkware,1.0,12.99,75.0,Clicked,2019-08-19,80.8,light rain
14659.0,F,New York,43886.0,Google Rucksack,Bags,10.0,55.99,18.69,Clicked,2019-11-19,40.91,mist
17954.0,F,New York,23750.0,YouTube Leatherette Notebook Combo,Office,4.0,5.59,12.91,Clicked,2019-03-21,43.68,clear sky
16550.0,F,New York,22806.0,Android Lifted Men's Short Sleeve Tee Blue,Apparel,1.0,15.99,6.5,Not Used,2019-03-14,40.53,clear sky
13124.0,M,New York,30035.0,Google Men's Vintage Badge Tee White,Apparel,1.0,10.63,6.0,Clicked,2019-06-10,69.93,clear sky
16686.0,M,New York,31814.0,YouTube Men's Fleece Hoodie Black,Apparel,1.0,55.99,6.0,Clicked,2019-07-04,81.52,clear sky
12347.0,M,New York,23981.0,24 oz YouTube Sergeant Stripe Bottle,Drinkware,3.0,7.99,49.73,Clicked,2019-03-24,45.23,clear sky
15005.0,F,New York,46718.0,Four Color Retractable Pen,Office,51.0,2.39,18.96,Used,2019-12-13,33.51,clear sky
16202.0,F,New York,28649.0,YouTube Men's Vintage Tank,Apparel,1.0,11.75,6.0,Used,2019-05-22,68.65,clear sky
17954.0,F,New York,37289.0,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1.0,149.0,6.0,Used,2019-09-03,74.17,light rain
15005.0,F,New York,35279.0,Google Men's Pullover Hoodie Grey,Apparel,1.0,29.11,6.0,Not Used,2019-08-11,77.67,few clouds
15880.0,F,New York,20988.0,Google Sunglasses,Lifestyle,5.0,2.8,158.74,Clicked,2019-02-21,30.18,mist
13369.0,F,New York,25418.0,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,1.0,16.99,6.0,Clicked,2019-04-12,46.29,overcast clouds
16923.0,F,New York,27208.0,BLM Sweatshirt,Apparel,1.0,33.59,6.0,Used,2019-05-03,56.01,moderate rain
16710.0,F,New York,22722.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.5,Clicked,2019-03-13,39.24,clear sky
17284.0,F,New York,34754.0,Google Women's Short Sleeve Hero Tee Grey,Apparel,1.0,4.08,6.0,Not Used,2019-08-05,79.79,overcast clouds
15867.0,M,New York,32304.0,Google Doodle Decal,Office,1.0,2.39,6.0,Clicked,2019-07-10,83.73,clear sky
14669.0,F,New York,36037.0,22 oz YouTube Bottle Infuser,Bottles,1.0,4.99,6.0,Used,2019-08-18,78.08,few clouds
15485.0,M,New York,17503.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,2019-01-09,41.99,mist
17980.0,M,New York,30120.0,YouTube Women's Fleece Hoodie Black,Apparel,1.0,31.35,6.0,Used,2019-06-11,67.59,light rain
15448.0,M,New York,44915.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,119.0,6.5,Clicked,2019-11-27,54.79,clear sky
